breakpointsPerLine,actions,browser,testcase,ms
0.1,100,firefox,js-puzzle-2,646
0.1,100,firefox,js-puzzle-3,648
0.1,100,firefox,js-puzzle-4,657
0.1,100,firefox,js-puzzle-5,646
0.1,100,firefox,js-puzzle-6,655
0.1,100,firefox,js-puzzle-7,681
0.1,100,firefox,js-puzzle-8,727
0.1,100,firefox,js-puzzle-9,666
0.1,100,firefox,js-puzzle-10,662
0.1,100,firefox,js-puzzle-11,665
0.1,100,firefox,manual-bindings,686
0.1,100,firefox,manual-multiline-decls,672
0.1,100,firefox,manual-wtf,797
0.1,100,chrome,sunspider-3d-cube,1316
0.1,100,chrome,sunspider-3d-morph,868
0.1,100,chrome,sunspider-3d-raytrace,1402
0.1,100,chrome,sunspider-access-binary-trees,1054
0.1,100,chrome,sunspider-access-fannkuch,958
0.1,100,chrome,sunspider-access-nbody,1055
0.1,100,chrome,sunspider-access-nsieve,350
0.1,100,chrome,sunspider-bitops-3bit-bits-in-byte,845
0.1,100,chrome,sunspider-bitops-bits-in-byte,339
0.1,100,chrome,sunspider-bitops-bitwise-and,337
0.1,100,chrome,sunspider-bitops-nsieve-bits,347
0.1,100,chrome,sunspider-controlflow-recursive,1040
0.1,100,chrome,sunspider-crypto-aes,1361
0.1,100,chrome,sunspider-crypto-md5,1266
0.1,100,chrome,sunspider-crypto-sha1,1098
0.1,100,chrome,sunspider-date-format-tofte,1478
0.1,100,chrome,sunspider-date-format-xparb,1255
0.1,100,chrome,sunspider-math-cordic,935
0.1,100,chrome,sunspider-math-partial-sums,849
0.1,100,chrome,sunspider-math-spectral-norm,982
0.1,100,chrome,sunspider-regexp-dna,1509
0.1,100,chrome,sunspider-string-base64,922
0.1,100,chrome,sunspider-string-fasta,910
0.1,100,chrome,sunspider-string-tagcloud,1448
0.1,100,chrome,sunspider-string-unpack-code,411
0.1,100,chrome,sunspider-string-validate-input,893
0.1,100,chrome,js-puzzle-1,315
0.1,100,chrome,js-puzzle-2,310
0.1,100,chrome,js-puzzle-3,323
0.1,100,chrome,js-puzzle-4,345
